ID,Entry,Gene names,Cross-reference (STRING)
157,Q15526,SURF1 SURF-1,9606.ENSP00000361042
158,Q86V20,SHLD2 FAM35A RINN2,9606.ENSP00000298784
159,Q9BRV3,SLC50A1 RAG1AP1 SCP,9606.ENSP00000357389
160,Q6PIF2,SYCE2 CESC1,9606.ENSP00000293695
161,P61764,STXBP1 UNC18A,9606.ENSP00000362399
162,Q8TAQ9,SUN3 SUNC1,9606.ENSP00000297325
163,Q6EEV6,SUMO4 SMT3H4,9606.ENSP00000318635
164,Q7L3T8,PARS2,9606.ENSP00000360327
165,A7MCY6,TBKBP1 KIAA0775 SINTBAD,9606.ENSP00000354777
166,Q96SF7,TBX15 TBX14,9606.ENSP00000207157
167,Q8N584,TTC39C C18orf17,9606.ENSP00000323645
168,Q6SA08,TSSK4 C14orf20 STK22E TSSK5,9606.ENSP00000339179
169,Q6PF05,TTC23L,9606.ENSP00000422188
170,Q8WUA8,TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788,9606.ENSP00000434847
171,O14817,TSPAN4 NAG2 TM4SF7,9606.ENSP00000380553
172,P42681,TXK PTK4 RLK,9606.ENSP00000264316
173,O14933,UBE2L6 UBCH8,9606.ENSP00000287156
174,Q70EK9,USP51,9606.ENSP00000423333
175,Q6UWM9,UGT2A3 UNQ2559/PRO6239,9606.ENSP00000251566
176,O95935,TBX18,9606.ENSP00000358677
177,O15119,TBX3,9606.ENSP00000257566
178,Q8NEK8,TENT5D FAM46D,9606.ENSP00000443410
179,Q7Z5A7,TAFA5 FAM19A5 UNQ5208/PRO34524,9606.ENSP00000383933
180,Q9BU02,THTPA,9606.ENSP00000288014
181,Q8NA77,TEX19,9606.ENSP00000331500
182,Q9NPI0,TMEM138 HSPC196 HSPC198,9606.ENSP00000278826
183,O14925,TIMM23 TIM23,9606.ENSP00000464522
184,Q9NZ63,C9orf78 HCA59,9606.ENSP00000361524
185,Q16143,SNCB,9606.ENSP00000308057
186,Q9UJW2,TINAG,9606.ENSP00000259782
187,P61812,TGFB2,9606.ENSP00000355896
188,Q9NZ01,TECR GPSN2 SC2,9606.ENSP00000215567
189,Q86SX3,TEDC1 C14orf80,9606.ENSP00000376307
190,Q96PL2,TECTB,9606.ENSP00000358430
191,O75865,TRAPPC6A HSPC289,9606.ENSP00000006275
192,P20333,TNFRSF1B TNFBR TNFR2,9606.ENSP00000365435
193,Q96J77,TPD52L3,9606.ENSP00000341677
194,Q96B42,TMEM18,9606.ENSP00000281017
195,Q5T2D2,TREML2 C6orf76 TLT2 UNQ6268/PRO20473,9606.ENSP00000418767
196,Q92544,TM9SF4 KIAA0255 TUCAP1,9606.ENSP00000381104
197,Q96Q45,TMEM237 ALS2CR4,9606.ENSP00000386264
198,Q6GV28,TMEM225 PMP22CD,9606.ENSP00000364166
199,Q96A57,TMEM230 C20orf30 HSPC274 UNQ2432/PRO4992,9606.ENSP00000341364
200,P60174,TPI1 TPI,9606.ENSP00000229270
201,Q5SRH9,TTC39A C1orf34 KIAA0452,9606.ENSP00000393952
202,P0C7H9,USP17L7,9606.ENSP00000485337
203,O95292,VAPB UNQ484/PRO983,9606.ENSP00000417175
204,Q9Y5J1,UTP18 WDR50 CDABP0061 CGI-48,9606.ENSP00000225298
205,Q8N1B4,VPS52 SACM2L,9606.ENSP00000409952
206,Q9Y487,ATP6V0A2,9606.ENSP00000332247
207,Q5GH73,XKR6 C8orf21 C8orf5 C8orf7 XRG6,9606.ENSP00000416707
208,Q96IQ7,VSIG2 CTH CTXL UNQ2770/PRO7154,9606.ENSP00000318684
209,Q49AA0,ZFP69 ZNF642,9606.ENSP00000361791
210,Q3KQV3,ZNF792,9606.ENSP00000385099
211,A6NGD5,ZSCAN5C ZSCAN5CP,9606.ENSP00000435234
212,Q6ZN55,ZNF574,9606.ENSP00000469029
213,Q9UK33,ZNF580,9606.ENSP00000443957
214,Q14585,ZNF345,9606.ENSP00000431202
215,Q9HCZ1,ZNF334,9606.ENSP00000255129
216,Q8TF68,ZNF384 CAGH1 CIZ NMP4 TNRC1,9606.ENSP00000380019
217,Q6PHR2,ULK3,9606.ENSP00000400312
218,Q96I59,NARS2,9606.ENSP00000281038
219,Q9HA47,UCK1 URK1,9606.ENSP00000361285
220,P0CG34,TMSB15A TMSL8 TMSNB,9606.ENSP00000472749
221,Q6P1K8,GTF2H2C; GTF2H2C_2 GTF2H2D,9606.ENSP00000422907
222,Q13207,TBX2,9606.ENSP00000240328
223,Q9H3H9,TCEAL2 My048 MY0876G0,9606.ENSP00000361866
224,O94876,TMCC1 KIAA0779,9606.ENSP00000376930
225,Q8IWZ5,TRIM42,9606.ENSP00000286349
226,Q9BXR5,TLR10 UNQ315/PRO358,9606.ENSP00000308925
227,Q9BQ61,TRIR C19orf43,9606.ENSP00000242784
228,Q8N8V8,TMEM105,9606.ENSP00000329795
229,Q6ZXV5,TMTC3,9606.ENSP00000266712
230,Q5W5X9,TTC23 HCC8,9606.ENSP00000377690
231,O14530,TXNDC9 APACD,9606.ENSP00000264255
232,Q9H3M7,TXNIP VDUP1,9606.ENSP00000462521
233,P35503,UGT1A3 GNT1 UGT1,9606.ENSP00000418532
234,P49767,VEGFC,9606.ENSP00000480043
235,Q9UBK9,UXT HSPC024,9606.ENSP00000337393
236,P27449,ATP6V0C ATP6C ATP6L ATPL,9606.ENSP00000329757
237,A6NC05,C5orf63,9606.ENSP00000454153
238,Q8N966,ZDHHC22 C14orf59,9606.ENSP00000318222
239,Q8NCP5,ZBTB44 BTBD15 ZNF851,9606.ENSP00000380861
240,Q2QGD7,ZXDC ZXDL,9606.ENSP00000374359
241,Q401N2,ZACN L2 LGICZ LGICZ1 ZAC,9606.ENSP00000334854
242,Q6ZMW2,ZNF782,9606.ENSP00000419397
243,Q9H6R6,ZDHHC6 ZNF376,9606.ENSP00000358413
244,Q3KP31,ZNF791,9606.ENSP00000342974
245,P17029,ZKSCAN1 KOX18 ZNF139 ZNF36,9606.ENSP00000323148
246,Q9H8U3,ZFAND3 TEX27,9606.ENSP00000287218
247,P17017,ZNF14 GIOT4 KOX6,9606.ENSP00000340514
248,P10072,ZNF875 HKR1,9606.ENSP00000315505
249,Q96LW9,ZSCAN31 ZNF310P ZNF323,9606.ENSP00000390076
250,Q8WTR7,ZNF473 KIAA1141 ZFP100,9606.ENSP00000472808
251,Q7Z7K2,ZNF467,9606.ENSP00000304769
252,Q9BYJ9,YTHDF1 C20orf21,9606.ENSP00000359364
253,Q6ECI4,ZNF470 CZF1,9606.ENSP00000333223
254,Q96H40,ZNF486 KRBO2,9606.ENSP00000335042
255,Q9BRH9,ZNF251,9606.ENSP00000292562
256,O75346,ZNF253 BMZF1 ZNF411,9606.ENSP00000468720
257,Q9GZX5,ZNF350 ZBRK1,9606.ENSP00000243644
258,Q7L945,ZNF627,9606.ENSP00000354414
259,Q09FC8,ZNF415,9606.ENSP00000439435
260,Q8NB16,MLKL,9606.ENSP00000308351
261,Q8IVT2,MISP C19orf21,9606.ENSP00000215582
262,Q8N594,MPND,9606.ENSP00000471735
263,Q9NZP5,OR5AC2,9606.ENSP00000351466
264,Q8NG76,OR2T33,9606.ENSP00000324687
265,Q8NGP2,OR8J1,9606.ENSP00000304060
266,Q32M88,PGGHG ATHL1,9606.ENSP00000387185
267,P78356,PIP4K2B PIP5K2B,9606.ENSP00000482548
268,Q92777,SYN2,9606.ENSP00000480050
269,Q9Y285,FARSA FARS FARSL FARSLA,9606.ENSP00000320309
270,Q6ZW31,SYDE1,9606.ENSP00000341489
271,P07437,TUBB TUBB5 OK/SW-cl.56,9606.ENSP00000339001
272,Q6DHY5,TBC1D3G,9606.ENSP00000456861
273,P59538,TAS2R31 TAS2R44,9606.ENSP00000375093
274,Q495M9,USH1G SANS,9606.ENSP00000480279
275,Q6NUM6,TYW1B RSAFD2,9606.ENSP00000482502
276,P51784,USP11 UHX1,9606.ENSP00000218348
277,P04818,TYMS TS OK/SW-cl.29,9606.ENSP00000315644
278,P21281,ATP6V1B2 ATP6B2 VPP3,9606.ENSP00000276390
279,Q9HAW7,UGT1A7 GNT1 UGT1,9606.ENSP00000362525
280,Q9NYS7,WSB2,9606.ENSP00000409131
281,Q2TAL6,VWC2 UNQ739/PRO1434,9606.ENSP00000341819
282,Q9BTA9,WAC KIAA1844,9606.ENSP00000346986
283,Q9GZS3,WDR61,9606.ENSP00000267973
284,Q9GZM5,YIPF3 C6orf109 KLIP1,9606.ENSP00000361499
285,Q9H5H4,ZNF768,9606.ENSP00000369777
286,Q32MQ0,ZNF750,9606.ENSP00000269394
287,B2RXF5,ZBTB42,9606.ENSP00000409107
288,Q5TFG8,ZC2HC1B C6orf94 FAM164B,9606.ENSP00000237275
289,Q9Y4P3,TBL2 WBSCR13 UNQ563/PRO1125,9606.ENSP00000307260
290,P59537,TAS2R43,9606.ENSP00000431719
291,O43680,TCF21 BHLHA23 POD1,9606.ENSP00000356857
292,Q9BRJ7,NUDT16L1 SDOS TIRR,9606.ENSP00000306670
293,O60220,TIMM8A DDP DDP1 TIM8A,9606.ENSP00000361993
294,P45379,TNNT2,9606.ENSP00000236918
295,Q9P0T7,TMEM9 DERP4 TMEM9A HSPC186 PSEC0012 UNQ631/PRO1248,9606.ENSP00000356301
296,O75509,TNFRSF21 DR6 UNQ437/PRO868,9606.ENSP00000296861
297,Q9BZY9,TRIM31 C6orf13 RNF,9606.ENSP00000365924
298,Q9NUR3,TMEM74B C20orf46,9606.ENSP00000371318
299,O94811,TPPP TPPP1,9606.ENSP00000353785
300,O15321,TM9SF1,9606.ENSP00000433967
301,C9JQI7,TMEM232,9606.ENSP00000401477
302,A6NIH7,UNC119B,9606.ENSP00000344942
303,O75604,USP2 UBP41,9606.ENSP00000260187
304,Q8N806,UBR7 C14orf130,9606.ENSP00000013070
305,Q765I0,UTS2B URP UTS2D,9606.ENSP00000340526
306,Q9H321,VCX3B VCXC,9606.ENSP00000370420
307,Q9H6R7,WDCP C2orf44 PP384,9606.ENSP00000295148
308,P04628,WNT1 INT1,9606.ENSP00000293549
309,Q9UN37,VPS4A VPS4,9606.ENSP00000254950
310,Q9H1J7,WNT5B,9606.ENSP00000380379
311,P56705,WNT4 UNQ426/PRO864,9606.ENSP00000290167
312,Q9HAD4,WDR41 MSTP048,9606.ENSP00000296679
313,P46094,XCR1 CCXCR1 GPR5,9606.ENSP00000310405
314,Q8IV35,WDR49,9606.ENSP00000311343
315,Q9UBD3,XCL2 SCYC2,9606.ENSP00000356793
316,Q9Y334,VWA7 C6orf27 G7C NG37,9606.ENSP00000364840
317,Q9H967,WDR76,9606.ENSP00000263795
318,Q86Y07,VRK2,9606.ENSP00000408002
319,Q92536,SLC7A6 KIAA0245,9606.ENSP00000455064
320,Q9Y2L8,ZKSCAN5 KIAA1015 ZFP95,9606.ENSP00000377725
321,P52744,ZNF138,9606.ENSP00000303533
322,Q0VGE8,ZNF816 ZNF816A,9606.ENSP00000350295
323,Q9UPR6,ZFR2 KIAA1086,9606.ENSP00000262961
324,Q9H8X9,ZDHHC11 ZNF399,9606.ENSP00000283441
325,Q96NJ6,ZFP3 ZNF752,9606.ENSP00000320347
326,O96006,ZBED1 ALTE DREF hDREF KIAA0785 TRAMP,9606.ENSP00000370621
327,Q9H0M4,ZCWPW1,9606.ENSP00000381109
328,Q9UC06,ZNF70,9606.ENSP00000339314
329,O95125,ZNF202 ZKSCAN10,9606.ENSP00000337724
330,Q6P9A1,ZNF530 KIAA1508,9606.ENSP00000332861
331,Q86XF7,ZNF575,9606.ENSP00000315870
332,Q8N988,ZNF557,9606.ENSP00000252840
333,Q9C0F3,ZNF436 KIAA1710,9606.ENSP00000313582
334,O14894,TM4SF5,9606.ENSP00000270560
335,P26639,TARS1 TARS,9606.ENSP00000387710
336,Q92609,TBC1D5 KIAA0210,9606.ENSP00000402935
337,Q9NXG2,THUMPD1,9606.ENSP00000370741
338,Q16890,TPD52L1,9606.ENSP00000434142
339,Q9C035,TRIM5 RNF88,9606.ENSP00000369373
340,Q96GJ1,TRMT2B CXorf34,9606.ENSP00000362027
341,Q6Q0C0,TRAF7 RFWD1 RNF119,9606.ENSP00000318944
342,O75069,TMCC2 KIAA0481 hucep-11,9606.ENSP00000350718
343,P28289,TMOD1 D9S57E TMOD,9606.ENSP00000259365
344,P01375,TNF TNFA TNFSF2,9606.ENSP00000398698
345,Q9NYL9,TMOD3,9606.ENSP00000308753
346,Q9NQ34,TMEM9B C11orf15 UNQ712/PRO1375,9606.ENSP00000433361
347,P57727,TMPRSS3 ECHOS1 TADG12 UNQ323/PRO382,9606.ENSP00000291532
348,Q96EY4,TMA16 C4orf43,9606.ENSP00000351380
349,Q8NFZ5,TNIP2 ABIN2 FLIP1,9606.ENSP00000321203
350,Q8IUR5,TMTC1 ARG99,9606.ENSP00000442046
351,Q8N6Q1,TMCO5A TMCO5,9606.ENSP00000327234
352,P13805,TNNT1 TNT,9606.ENSP00000467176
353,P63316,TNNC1 TNNC,9606.ENSP00000232975
354,Q9Y5U2,TSSC4,9606.ENSP00000331087
355,Q9H2G4,TSPYL2 CDA1 DENTT TSPX HRIHFB2216,9606.ENSP00000364591
356,A6NLP5,TTC36 HBP21,9606.ENSP00000307640
357,Q16763,UBE2S E2EPF OK/SW-cl.73,9606.ENSP00000264552
358,Q5TAP6,UTP14C KIAA0266,9606.ENSP00000428619
359,P22415,USF1 BHLHB11 USF,9606.ENSP00000357000
360,O60701,UGDH,9606.ENSP00000319501
361,Q5TC79,ZBTB37,9606.ENSP00000356674
362,P0DKX0,ZNF728,9606.ENSP00000471593
363,Q86UZ6,ZBTB46 BTBD4 ZNF340,9606.ENSP00000378536
364,Q96N20,ZNF75A,9606.ENSP00000459566
365,Q8WV99,ZFAND2B AIRAPL,9606.ENSP00000289528
366,P17023,ZNF19 KOX12,9606.ENSP00000288177
367,Q9BSG1,ZNF2 ZNF661,9606.ENSP00000480297
368,Q5T4F4,ZFYVE27 SPG33,9606.ENSP00000377282
369,Q05516,ZBTB16 PLZF ZNF145,9606.ENSP00000338157
370,P51814,ZNF41,9606.ENSP00000366265
371,Q03936,ZNF92,9606.ENSP00000332595
372,Q9NX65,ZSCAN32 ZNF434 HCCS5,9606.ENSP00000380057
373,A8MXY4,ZNF99 C19orf9,9606.ENSP00000472969
374,Q9H869,YY1AP1 HCCA2 YY1AP,9606.ENSP00000357323
375,Q3ZCX4,ZNF568,9606.ENSP00000481819
376,Q86TG1,TMEM150A TMEM150,9606.ENSP00000387292
377,Q9P1P5,TAAR2 GPR58,9606.ENSP00000356908
378,Q8IV04,TBC1D10C,9606.ENSP00000443654
379,Q12870,TCF15 BHLHA40 BHLHEC2,9606.ENSP00000246080
380,Q9HAV5,EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080,9606.ENSP00000379365
381,Q495X7,TRIM60 RNF129 RNF33,9606.ENSP00000421142
382,Q32P41,TRMT5 KIAA1393 TRM5,9606.ENSP00000261249
383,O95361,TRIM16 EBBP,9606.ENSP00000463188
384,Q9H2L4,TMEM60 C7orf35 DC32,9606.ENSP00000257663
385,Q96MH6,TMEM68,9606.ENSP00000395204
386,P56557,TMEM50B C21orf4 UNQ167/PRO193,9606.ENSP00000439768
387,P11387,TOP1,9606.ENSP00000354522
388,Q59H18,TNNI3K CARK,9606.ENSP00000322251
389,Q9Y4K3,TRAF6 RNF85,9606.ENSP00000433623
390,Q13470,TNK1,9606.ENSP00000459799
391,A0PJW6,TMEM223,9606.ENSP00000303987
392,Q15785,TOMM34 URCC3,9606.ENSP00000361900
393,Q9BXA7,TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81,9606.ENSP00000375081
394,Q96RJ3,TNFRSF13C BAFFR BR3,9606.ENSP00000291232
395,Q9BZV1,UBXN6 UBXD1 UBXDC2,9606.ENSP00000301281
396,Q9UPY6,WASF3 KIAA0900 SCAR3 WAVE3,9606.ENSP00000335055
397,Q9H7D7,WDR26 CDW2 MIP2 PRO0852,9606.ENSP00000408108
398,Q5GFL6,VWA2 AMACO,9606.ENSP00000376708
399,Q96TA2,YME1L1 FTSH1 YME1L UNQ1868/PRO4304,9606.ENSP00000318480
400,Q9H6B1,ZNF385D ZNF659,9606.ENSP00000281523
401,Q9HBT8,ZNF286A KIAA1874 ZNF286,9606.ENSP00000464218
402,Q8IYP9,ZDHHC23,9606.ENSP00000330485
403,Q8NDX6,ZNF740 TB7,9606.ENSP00000409463
404,O43264,ZW10,9606.ENSP00000200135
405,Q6ZN11,ZNF793,9606.ENSP00000396402
406,Q8N972,ZNF709,9606.ENSP00000404127
407,Q53FD0,ZC2HC1C C14orf140 FAM164C,9606.ENSP00000435550
408,P43403,ZAP70 SRK,9606.ENSP00000264972
409,Q8N5P1,ZC3H8 ZC3HDC8,9606.ENSP00000386488
410,Q96MR9,ZNF560,9606.ENSP00000301480
411,Q8NF99,ZNF397 ZNF47 ZSCAN15,9606.ENSP00000331577
412,Q96BZ9,TBC1D20 C20orf140,9606.ENSP00000346139
413,Q16635,TAZ EFE2 G4.5,9606.ENSP00000469981
414,Q8N3H0,TAFA2 FAM19A2,9606.ENSP00000393987
